Unnamed: 0,Polygon,Overlay_sheet_ct,naId,Title_short
7,"[[40, -120], [41, -120], [41, -119], [40, -119]]",18,34488565,40N120W
8,"[[40, -4], [41, -4], [41, -3], [40, -3]]",18,34485566,40N004W
9,"[[39, -114], [40, -114], [40, -113], [39, -113]]",18,34485042,39N114W
10,"[[55, -120], [56, -120], [56, -119], [55, -119]]",18,34510761,55N120W
11,"[[54, -6], [55, -6], [55, -5], [54, -5]]",18,34509694,54N006W
12,"[[48, -54], [49, -54], [49, -53], [48, -53]]",18,34504215,48N054W
13,"[[47, -97], [48, -97], [48, -96], [47, -96]]",18,34502156,47N097W
14,"[[47, -102], [48, -102], [48, -101], [47, -101]]",18,34502279,47N102W
15,"[[46, -99], [47, -99], [47, -98], [46, -98]]",18,34500283,46N099W
16,"[[44, -91], [45, -91], [45, -90], [44, -90]]",18,34496907,44N091W
17,"[[43, -97], [44, -97], [44, -96], [43, -96]]",18,34494857,43N097W
18,"[[42, -93], [43, -93], [43, -92], [42, -92]]",18,34492696,42N093W
19,"[[42, -5], [43, -5], [43, -4], [42, -4]]",18,34491342,42N005W
20,"[[42, -7], [43, -7], [43, -6], [42, -6]]",18,34491379,42N007W
21,"[[42, -8], [43, -8], [43, -7], [42, -7]]",18,34491398,42N008W
22,"[[75, -58], [76, -58], [76, -58], [75, -58]]",18,34531844,75N058-059W
23,"[[73, -54], [74, -54], [74, -54], [73, -54]]",18,34531490,73N054-055W
24,"[[70, -144], [71, -144], [71, -144], [70, -144]]",18,34530529,70N144-145W
25,"[[69, -160], [70, -160], [70, -160], [69, -160]]",18,34530376,69N160-161W
26,"[[64, -172], [65, -172], [65, -171], [64, -171]]",18,34526541,64N172W
27,"[[63, -169], [64, -169], [64, -168], [63, -168]]",18,34524332,63N169W
28,"[[63, -171], [64, -171], [64, -170], [63, -170]]",18,34524372,63N171W
29,"[[63, -22], [64, -22], [64, -21], [63, -21]]",18,34522193,63N022W
30,"[[61, -48], [62, -48], [62, -47], [61, -47]]",18,34517833,61N048W
31,"[[60, -130], [61, -130], [61, -129], [60, -129]]",18,34515898,60N130W
32,"[[59, -147], [60, -147], [60, -146], [59, -146]]",18,34514720,59N147W
33,"[[59, -125], [60, -125], [60, -124], [59, -124]]",18,34514282,59N125W
34,"[[7, 0], [8, 0], [8, 1], [7, 1]]",18,34540141,07N000E
35,"[[6, 3], [7, 3], [7, 4], [6, 4]]",18,34539157,06N003E
36,"[[5, 46], [6, 46], [6, 47], [5, 47]]",18,34538637,05N046E
37,"[[4, 23], [5, 23], [5, 24], [4, 24]]",18,34537948,04N023E
38,"[[3, 126], [4, 126], [4, 127], [3, 127]]",18,34537795,03N126E
39,"[[2, 22], [3, 22], [3, 23], [2, 23]]",18,34536548,02N022E
40,"[[0, 109], [1, 109], [1, 110], [0, 110]]",18,34534812,00N109E
41,"[[0, 124], [1, 124], [1, 125], [0, 125]]",18,34534918,00N124E
42,"[[0, 126], [1, 126], [1, 127], [0, 127]]",18,34534937,00N126E
43,"[[21, -97], [22, -97], [22, -96], [21, -96]]",18,34534308,21N097W
44,"[[0, 19], [1, 19], [1, 20], [0, 20]]",18,34534390,00N019E
45,"[[8, -67], [9, -67], [9, -66], [8, -66]]",18,34533558,08N067W
46,"[[26, 81], [27, 81], [27, 82], [26, 82]]",18,34580637,26N081E
47,"[[26, 54], [27, 54], [27, 55], [26, 55]]",18,34580207,26N054E
48,"[[25, 90], [26, 90], [26, 91], [25, 91]]",18,34578177,25N090E
49,"[[24, 106], [25, 106], [25, 107], [24, 107]]",18,34576220,24N106E
50,"[[24, 101], [25, 101], [25, 102], [24, 102]]",18,34576060,24N101E
51,"[[24, 105], [25, 105], [25, 106], [24, 106]]",18,34576201,24N105E
52,"[[23, 104], [24, 104], [24, 105], [23, 105]]",18,34573703,23N104E
53,"[[22, 100], [23, 100], [23, 101], [22, 101]]",18,34570922,22N100E
54,"[[16, 0], [17, 0], [17, 1], [16, 1]]",18,34556820,16N000E
55,"[[8, 170], [9, 170], [9, 171], [8, 171]]",18,34542611,08N170E
56,"[[8, 151], [9, 151], [9, 152], [8, 152]]",18,34542521,08N151E
