,Polygon,Overlay_sheet_ct,naId,Title_short
6803,"[[-30, 27], [-29, 27], [-29, 28], [-30, 28]]",13,46739425,30S027E
4,"[[22, -76], [23, -76], [23, -75], [22, -75]]",1,27831556,22N076W
7846,"[[52, -57], [53, -57], [53, -56], [52, -56]]",17,34508372,52N057W
260,"[[52, -126], [53, -126], [53, -125], [52, -125]]",6,34508707,52N126W
4587,"[[18, -6], [19, -6], [19, -5], [18, -5]]",5,34534092,18N006W
4545,"[[76, -90], [77, -90], [77, -90], [76, -90]]",5,34532237,76N090-091W
5494,"[[25, 12], [26, 12], [26, 13], [25, 13]]",10,34577306,25N012E
4284,"[[31, 129], [32, 129], [32, 130], [31, 130]]",9,34592544,31N129E
4515,"[[68, -128], [69, -128], [69, -128], [68, -128]]",5,34529590,68N128-129W
6544,"[[26, 90], [27, 90], [27, 91], [26, 91]]",25,34580719,26N090E
6376,"[[32, 54], [33, 54], [33, 55], [32, 55]]",12,34593828,32N054E
1213,"[[-20, -54], [-19, -54], [-19, -53], [-20, -53]]",6,46719978,20S054W
496,"[[14, 24], [15, 24], [15, 25], [14, 25]]",6,34552807,14N024E
3367,"[[20, -73], [21, -73], [21, -72], [20, -72]]",8,27829846,20N073W
1242,"[[-14, -53], [-13, -53], [-13, -52], [-14, -52]]",6,46717584,14S053W
6882,"[[36, 47], [37, 47], [37, 48], [36, 48]]",26,34604624,36N047E
6679,"[[15, 38], [16, 38], [16, 39], [15, 39]]",13,34555130,15N038E
2007,"[[72, -98], [73, -98], [73, -98], [72, -98]]",7,34531309,72N098-099W
6437,"[[-7, -41], [-6, -41], [-6, -40], [-7, -40]]",12,46715465,07S041W
5823,"[[54, -121], [55, -121], [55, -120], [54, -120]]",11,34510067,54N121W
5579,"[[-1, -56], [0, -56], [0, -55], [-1, -55]]",10,46713209,01S056W
295,"[[57, -116], [58, -116], [58, -115], [57, -115]]",6,34512359,57N116W
2026,"[[5, 1], [6, 1], [6, 2], [5, 2]]",7,34538492,05N001E
2625,"[[51, -95], [52, -95], [52, -94], [51, -94]]",4,34507849,51N095W
876,"[[83, -84], [84, -84], [84, -84], [83, -84]]",3,34533324,83N084-085W
7315,"[[26, 47], [27, 47], [27, 48], [26, 48]]",15,34579996,26N047E
146,"[[1, -60], [2, -60], [2, -59], [1, -59]]",6,27818820,01N060W
5254,"[[4, -56], [5, -56], [5, -55], [4, -55]]",10,27819387,04N056W
2478,"[[1, 18], [2, 18], [2, 19], [1, 19]]",20,34535094,01N018E
5079,"[[-2, 127], [-1, 127], [-1, 128], [-2, 128]]",5,46726787,02S127E
5383,"[[57, -129], [58, -129], [58, -128], [57, -128]]",10,34512556,57N129W
2880,"[[1, 33], [2, 33], [2, 34], [1, 34]]",4,34535452,01N033E
5374,"[[54, -116], [55, -116], [55, -115], [54, -115]]",10,34510010,54N116W
4533,"[[75, -90], [76, -90], [76, -90], [75, -90]]",5,34531941,75N090-091W
1518,"[[63, 30], [64, 30], [64, 31], [63, 31]]",3,46710402,63N030E
99,"[[46, 43], [47, 43], [47, 44], [46, 44]]",18,44212702,46N043E
2428,"[[28, -12], [29, -12], [29, -11], [28, -11]]",20,27836244,28N012W
7887,"[[7, 2], [8, 2], [8, 3], [7, 3]]",17,34540178,07N002E
1512,"[[59, 166], [60, 166], [60, 167], [59, 167]]",3,46709306,59N166E
3246,"[[-3, 34], [-2, 34], [-2, 35], [-3, 35]]",4,46728037,03S034E
4525,"[[72, -108], [73, -108], [73, -108], [72, -108]]",5,34531339,72N108-109W
3341,"[[6, -62], [7, -62], [7, -61], [6, -61]]",8,27820205,06N062W
6106,"[[-33, 19], [-32, 19], [-32, 20], [-33, 20]]",11,46739827,33S019E
786,"[[77, -78], [78, -78], [78, -78], [77, -78]]",3,34532424,77N078-079W
4642,"[[17, 7], [18, 7], [18, 8], [17, 8]]",5,34559342,17N007E
2118,"[[19, 42], [20, 42], [20, 43], [19, 43]]",7,34563338,19N042E
7925,"[[39, 118], [40, 118], [40, 119], [39, 119]]",17,44182355,39N118E
7276,"[[11, -11], [12, -11], [12, -10], [11, -10]]",15,34533675,11N011W
3890,"[[38, -6], [39, -6], [39, -5], [38, -5]]",21,27863100,38N006W
5706,"[[53, -1], [54, -1], [54, 0], [53, 0]]",23,34508853,53N001W
7592,"[[31, 57], [32, 57], [32, 58], [31, 58]]",16,34591711,31N057E
1468,"[[76, -66], [77, -66], [77, -66], [76, -66]]",19,34532135,76N066-067W
7911,"[[31, 16], [32, 16], [32, 17], [31, 17]]",17,34590553,31N016E
2876,"[[1, 107], [2, 107], [2, 108], [1, 108]]",4,34535778,01N107E
1474,"[[60, -44], [61, -44], [61, -43], [60, -43]]",19,34515521,60N044W
4981,"[[-12, -37], [-11, -37], [-11, -36], [-12, -36]]",5,46716877,12S037W
5985,"[[-19, -62], [-18, -62], [-18, -61], [-19, -61]]",23,46719585,19S062W
2305,"[[-21, -50], [-20, -50], [-20, -49], [-21, -49]]",7,46720269,21S050W
5415,"[[68, -32], [69, -32], [69, -32], [68, -32]]",10,34529444,68N032-033W
3854,"[[-20, 117], [-19, 117], [-19, 118], [-20, 118]]",8,46738062,20S117E
5495,"[[25, 13], [26, 13], [26, 14], [25, 14]]",10,34577317,25N013E
1048,"[[19, 145], [20, 145], [20, 146], [19, 146]]",3,34564947,19N145E
3519,"[[0, 102], [1, 102], [1, 103], [0, 103]]",8,34534772,00N102E
3374,"[[14, -7], [15, -7], [15, -6], [14, -6]]",8,27825701,14N007W
840,"[[80, -164], [81, -164], [81, -164], [80, -164]]",3,34532939,80N164-165W
215,"[[5, -61], [6, -61], [6, -60], [5, -60]]",3,27819787,05N061W
408,"[[81, -64], [82, -64], [82, -64], [81, -64]]",6,34533061,81N064-065W
6906,"[[9, -6], [10, -6], [10, -5], [9, -5]]",14,27822257,09N006W
567,"[[28, 29], [29, 29], [29, 30], [28, 30]]",6,34584598,28N029E
4531,"[[75, -68], [76, -68], [76, -68], [75, -68]]",5,34531902,75N068-069W
1555,"[[-15, -63], [-14, -63], [-14, -62], [-15, -62]]",3,46717982,15S063W
264,"[[52, -112], [53, -112], [53, -111], [52, -111]]",6,34508650,52N112W
404,"[[11, -83], [12, -83], [12, -82], [11, -82]]",6,34533715,11N083W
6721,"[[36, 35], [37, 35], [37, 36], [36, 36]]",13,34604355,36N035E
5858,"[[3, 105], [4, 105], [4, 106], [3, 106]]",11,34537661,03N105E
571,"[[33, 54], [34, 54], [34, 55], [33, 55]]",6,34595535,33N054E
7213,"[[11, -8], [12, -8], [12, -7], [11, -7]]",15,27824254,11N008W
2653,"[[54, -56], [55, -56], [55, -55], [54, -55]]",4,34509728,54N056W
3685,"[[41, 109], [42, 109], [42, 110], [41, 110]]",8,44190181,41N109E
6765,"[[-19, -47], [-18, -47], [-18, -46], [-19, -46]]",13,46719454,19S047W
2960,"[[20, 54], [21, 54], [21, 55], [20, 55]]",4,34565229,20N054E
77,"[[31, 44], [32, 44], [32, 45], [31, 45]]",18,34591385,31N044E
873,"[[83, -76], [84, -76], [84, -76], [83, -76]]",3,34533312,83N076-077W
7461,"[[35, 58], [36, 58], [36, 59], [35, 59]]",28,34601192,35N058E
5511,"[[26, 31], [27, 31], [27, 32], [26, 32]]",10,34579908,26N031E
3153,"[[-14, -46], [-13, -46], [-13, -45], [-14, -45]]",4,46717527,14S046W
3312,"[[-20, 120], [-19, 120], [-19, 121], [-20, 121]]",4,46738089,20S120E
6142,"[[43, -109], [44, -109], [44, -108], [43, -108]]",24,34495152,43N109W
6650,"[[62, -140], [63, -140], [63, -139], [62, -139]]",13,34520453,62N140W
3691,"[[56, 12], [57, 12], [57, 13], [56, 13]]",8,44262520,56N012E
211,"[[9, -77], [10, -77], [10, -76], [9, -76]]",3,27822719,09N077W
289,"[[55, -5], [56, -5], [56, -4], [55, -4]]",6,34510401,55N005W
3802,"[[0, 31], [1, 31], [1, 32], [0, 32]]",8,46724346,00S031E
497,"[[14, 34], [15, 34], [15, 35], [14, 35]]",6,34552903,14N034E
5995,"[[41, 31], [42, 31], [42, 32], [41, 32]]",11,44189896,41N031E
1443,"[[49, 117], [50, 117], [50, 118], [49, 118]]",3,44231249,49N117E
6636,"[[1, 108], [2, 108], [2, 109], [1, 109]]",13,34535783,01N108E
3859,"[[-15, 12], [-14, 12], [-14, 13], [-15, 13]]",8,46737307,15S012E
4439,"[[60, -121], [61, -121], [61, -120], [60, -120]]",5,34515792,60N121W
7019,"[[5, 172], [6, 172], [6, 173], [5, 173]]",14,34539081,05N172E
