,Polygon,Overlay_sheet_ct,naId,Title_short
1048,"[[19, 145], [20, 145], [20, 146], [19, 146]]",3,34564947,19N145E
2625,"[[51, -95], [52, -95], [52, -94], [51, -94]]",4,34507849,51N095W
5985,"[[-19, -62], [-18, -62], [-18, -61], [-19, -61]]",23,46719585,19S062W
4439,"[[60, -121], [61, -121], [61, -120], [60, -120]]",5,34515792,60N121W
295,"[[57, -116], [58, -116], [58, -115], [57, -115]]",6,34512359,57N116W
4981,"[[-12, -37], [-11, -37], [-11, -36], [-12, -36]]",5,46716877,12S037W
5079,"[[-2, 127], [-1, 127], [-1, 128], [-2, 128]]",5,46726787,02S127E
5858,"[[3, 105], [4, 105], [4, 106], [3, 106]]",11,34537661,03N105E
6142,"[[43, -109], [44, -109], [44, -108], [43, -108]]",24,34495152,43N109W
5579,"[[-1, -56], [0, -56], [0, -55], [-1, -55]]",10,46713209,01S056W
